timestamp_ms,timestamp_s,killerId,victimId,assists,position_x,position_y,bounty,shutdownBounty,window_30s,n_assists
241756,241.756,8,5,"[7, 9, 10]",8193,5618,300,0,8,3
251076,251.076,1,6,[],3935,13294,300,0,8,0
276438,276.438,10,4,[9],10560,856,300,0,9,1
322395,322.395,1,6,[],1810,12954,267,0,10,0
363331,363.331,9,5,"[7, 10]",13620,2116,221,0,12,2
388326,388.326,9,4,"[7, 10]",10244,801,244,0,12,2
390263,390.263,4,9,[],10877,2182,300,54,13,0
419482,419.482,2,6,[1],4701,13777,230,0,13,1
520573,520.573,8,2,[7],7049,10653,310,0,17,1
542660,542.66,3,8,"[1, 5]",3540,7368,320,118,18,2
560069,560.069,6,1,[],5543,6782,310,0,18,0
561070,561.07,2,6,"[3, 5]",5490,6908,260,0,18,2
681010,681.01,7,3,"[8, 10]",5273,7284,330,0,22,2
699331,699.331,7,2,"[8, 10]",2835,8275,320,0,23,2
704815,704.815,8,1,"[6, 7, 10]",2800,8042,330,0,23,3
781967,781.967,9,4,"[8, 10]",10295,952,320,0,26,2
782468,782.468,8,5,"[9, 10]",9635,1003,204,0,26,2
786145,786.145,1,7,[2],4754,12114,330,326,26,1
846341,846.341,8,3,[10],6854,7470,340,0,28,1
893694,893.694,9,4,[10],13245,3976,283,0,29,1
923298,923.298,7,2,[6],3240,10572,340,0,30,1
950257,950.257,10,3,"[7, 8]",3757,4846,295,0,31,2
1031133,1031.133,10,4,[9],5473,6158,252,0,34,1
1125431,1125.431,8,5,[10],8615,3404,164,0,37,1
1132990,1132.99,9,2,"[7, 8]",7948,2327,305,0,37,2
1137666,1137.666,9,4,"[7, 8, 10]",7256,2500,216,0,37,3
1182522,1182.522,6,1,[7],1402,7458,360,0,39,1
1184870,1184.87,1,7,[],1742,7563,360,106,39,0
1200060,1200.06,9,4,"[8, 10]",3727,2412,153,0,40,2
1202132,1202.132,2,6,[],2850,9322,370,120,40,0
1254426,1254.426,9,1,"[6, 7, 10]",4309,10171,370,0,41,3
1399882,1399.882,4,8,"[1, 3]",4459,4703,380,543,46,2
1434627,1434.627,9,2,"[6, 10]",5997,5476,380,0,47,2
1454122,1454.122,9,4,[],3771,3349,370,0,48,0
1486955,1486.955,8,1,"[9, 10]",1146,4715,380,0,49,2
1586906,1586.906,6,1,[],13450,2598,359,0,52,0
1613395,1613.395,2,7,"[3, 5]",4340,2692,400,31,53,2
1631488,1631.488,8,2,"[6, 10]",2993,3009,390,0,54,2
1632424,1632.424,9,5,"[6, 8, 10]",2879,2873,178,0,54,3
